spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-4,1,1,1,0,3,1,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
0,5,1,1,1,0,3,1,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
0,4,1,1,1,0,-6,1,1.514854640055892,0.8593117224058666,0.0,0.8,0.7526214473232267,299792458
0,-3,1,1,1,0,-6,1,1.514854640055892,0.8593117224058666,0.0,0.8,0.7526214473232267,299792458
0,5,1,1,1,0,-2,0,1.514854640055892,0.8593117224058666,0.0,0.8,0.7526214473232267,299792458
0,1,1,1,1,0,-5,0,1.514854640055892,0.8593117224058666,0.0,0.8,0.7526214473232267,299792458
0,-3,1,1,1,0,-5,0,1.514854640055892,0.8593117224058666,0.0,0.8,0.7526214473232267,299792458
0,-4,1,1,1,1,-8,0,1.289676434661985,0.7315778353326086,0.0,1.0,0.7523678094329347,299792458
0,6,1,1,1,1,-5,0,1.289676434661985,0.7315778353326086,0.0,1.0,0.7523678094329347,299792458
0,4,1,1,1,0,-3,0,1.509230856356236,0.8561215923896882,0.0,0.8,0.7508668758143285,299792458
0,3,1,1,1,0,-4,0,1.509230856356236,0.8561215923896882,0.0,0.8,0.7508668758143285,299792458
0,-2,1,1,1,0,-6,0,1.509230856356236,0.8561215923896882,0.0,0.8,0.7508668758143285,299792458
0,3,1,1,1,1,-8,0,1.2826241524910125,0.7275773797251934,0.0,1.0,0.7501675588488563,299792458
0,-4,1,1,1,0,-1,0,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,3,1,1,1,0,-7,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,-4,1,1,1,0,2,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,-3,1,1,1,0,-7,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,5,1,1,1,0,2,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,5,1,1,1,0,-2,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,6,1,1,1,0,2,0,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,-4,1,1,1,0,-2,1,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,-4,1,1,1,0,5,0,1.5067873649806418,0.8547355050865736,0.0,0.8,0.7501045277976155,299792458
0,6,1,1,1,0,3,0,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,-4,1,1,1,0,4,0,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,-3,1,1,1,0,-8,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,6,1,1,1,0,5,0,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,-4,1,1,1,0,0,0,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,-4,1,1,1,0,1,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,3,1,1,1,0,-8,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,-4,1,1,1,0,2,0,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,5,1,1,1,0,-1,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,5,1,1,1,0,1,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
